nu_b,t,bubble_share_upper,log10_bubble_share_upper,a_t,dividend_leakage,switch_leakage,state_price_SDF_factor,physical_payoff_crash_factor
1.0,2,0.04088306966416359,-1.388456503084752,0.3262037500457347,0.034694465671220254,0.29150928437451445,0.34720752832561386,0.8395822687955511
1.0,3,0.05416927311692742,-1.266246992055873,0.32498057415708115,0.03441040016857844,0.2905701739885027,0.34794517484320453,0.83510332948127
1.0,4,0.07171741459675955,-1.1443753750858647,0.3239501006770659,0.03414761602288351,0.2898024846541824,0.34850770300430206,0.8315525945508442
1.0,5,0.09489693995611292,-1.0227477915937937,0.3232063716976306,0.033908751163796144,0.28929762053383445,0.34885586368224064,0.8292754992857008
1.0,6,0.12553786751695678,-0.9012252528836856,0.3228863604560317,0.0336979443007017,0.28918841615533,0.34893534304007245,0.8287736450993988
1.0,7,0.16611191403579223,-0.7795992175519595,0.32320165477842777,0.03352200524900708,0.2896796495294207,0.3486673536802518,0.8308195375098805
1.0,8,0.22001466721543286,-0.657548366094161,0.3244966111703836,0.03339239109414963,0.29110422007623393,0.34793201048324396,0.8366698415357596
1.0,9,0.29203887526322286,-0.5345593328374563,0.3273609389744261,0.03332858889624879,0.2940323500781773,0.3465368628911303,0.8484879433174529
1.0,10,0.3892479816663218,-0.4097736306633787,0.33286358302634084,0.0333638728895394,0.29949971013680143,0.34415090099669216,0.870256940398596
1.0,11,0.5227952595347143,-0.2816683590548619,0.3430904825676767,0.03355445338298871,0.30953602918468803,0.34014357854169786,0.9100157954231151
1.0,12,0.7123604142558,-0.14730022220701677,0.3625992226666285,0.03398843083165159,0.3286107918349769,0.33309411158321056,0.9865403812546422
1.0,13,1.0,0.0,0.4037837869538215,0.0347420543281098,0.3690417326257117,0.31876982467389564,1.1577059811205301
1.3,1,0.09415777680679124,-1.026143804327125,0.0,0.0,0.0,NaN,NaN
1.3,2,0.1250817159585273,-0.90280616943256,0.32842681932891243,0.034799002225179905,0.29362781710373254,0.3463981317515402,0.8476599328611331
1.3,3,0.1662191020650677,-0.7793190681286477,0.32888408822421467,0.03456364716375146,0.2943204410604632,0.3462137036958274,0.850112049056972
1.3,4,0.22110471828862188,-0.6554019896472084,0.3302004134402602,0.0343683401195506,0.2958320733207096,0.3455800304368167,0.8560450467776591
1.3,5,0.2946908347700863,-0.53063337100679,0.3328111541491747,0.03422714875506231,0.2985840053941124,0.34435044899356915,0.8670934109909889
1.3,6,0.3941397398933678,-0.40434977435465763,0.3374686057028893,0.03416276102226903,0.3033058446806203,0.34228304913623875,0.8861258115060662
1.3,7,0.5303365445014172,-0.2754484454281585,0.3455546112779611,0.03421151608625255,0.31134309519170855,0.3389423876837961,0.9185723193823863
1.3,8,0.7211667497539465,-0.1419643051488504,0.35982850367578106,0.03442757184766854,0.3254009318281125,0.3334337133548182,0.9759089102122145
1.3,9,1.0,0.0,0.3866418554948465,0.03486235850746426,0.3517794969873822,0.32348259683054126,1.087475803749852
